llm1_success,llm2_success,llm3_success,econometrics_difficulty,readability_difficulty,negation_difficulty
0,0,0,3,97,0
0,0,0,3,60,0
0,0,0,6,84,0
0,1,0,3,98,0
1,0,0,6,6,0
0,0,0,7,50,1
0,0,0,7,27,0
0,0,0,5,81,0
0,1,0,1,76,1
0,0,0,5,71,0
0,0,1,6,17,0
0,0,0,5,7,0
0,0,0,2,43,1
0,0,0,6,65,0
0,0,0,4,49,1
0,1,0,1,70,1
1,0,0,2,21,0
0,0,0,2,88,0
0,0,1,2,30,0
0,0,0,3,51,0
0,0,1,2,7,1
0,0,0,5,90,0
0,0,0,5,98,1
0,1,0,3,80,0
0,0,0,1,83,0
0,0,1,3,55,0
0,0,0,2,53,1
0,0,1,5,19,0
0,0,0,7,81,0
0,1,1,4,27,0
0,0,0,3,78,1
0,0,0,7,3,1
0,0,0,4,89,0
1,0,0,2,93,1
0,0,0,3,97,1
0,0,0,4,28,1
0,0,0,6,37,1
0,1,1,1,25,0
0,1,0,2,4,1
0,0,0,3,93,0
0,0,0,7,13,0
0,0,0,5,81,0
0,1,1,3,33,0
0,0,0,3,74,1
0,1,0,4,15,0
0,0,0,2,92,0
1,1,0,3,39,1
0,0,1,1,18,0
0,0,1,5,20,1
0,0,1,4,8,0
0,0,0,6,97,0
1,0,0,4,47,0
0,1,1,3,26,0
0,0,0,7,87,1
0,0,0,2,18,1
0,0,0,3,99,0
0,0,0,2,42,1
0,1,0,6,71,1
0,0,1,4,36,0
0,1,0,4,4,1
0,0,1,4,56,0
0,0,0,4,69,1
0,0,0,7,85,1
0,1,1,3,28,0
0,0,0,3,41,0
0,0,0,5,73,0
1,0,0,5,21,1
0,1,0,2,30,1
0,0,0,6,6,0
0,0,1,7,14,0
0,0,0,7,85,1
0,0,1,4,23,1
0,0,0,6,4,0
0,0,0,3,65,1
0,0,0,4,23,1
0,0,1,4,70,0
0,0,0,2,20,1
0,1,0,3,46,0
0,0,0,1,80,1
0,0,1,6,68,0
0,1,0,3,30,1
0,0,0,4,82,1
0,0,0,7,27,0
0,1,0,4,67,1
1,1,1,1,25,0
0,0,0,1,98,1
0,0,0,4,75,0
0,0,0,7,29,1
1,0,0,2,31,0
0,1,0,2,18,1
0,0,0,2,84,0
0,0,1,6,71,1
0,0,0,3,62,0
0,0,0,7,38,0
0,0,0,4,8,1
0,0,0,3,14,0
1,0,0,2,5,1
0,0,0,5,59,1
0,0,0,6,79,0
0,0,0,4,73,1
0,0,0,5,82,0
0,0,0,6,78,0
0,0,0,4,21,0
0,0,0,5,76,0
0,0,0,6,54,1
0,0,0,4,99,0
0,1,0,3,7,1
0,1,0,4,79,1
0,1,0,3,99,0
0,1,0,2,44,1
0,0,1,2,41,0
0,1,1,1,11,1
0,1,0,2,38,1
1,0,0,1,83,1
0,0,0,4,87,1
0,0,0,6,78,1
0,0,0,7,64,0
0,1,0,1,53,1
0,0,0,5,74,1
0,0,0,5,40,0
0,0,0,3,93,1
0,0,0,4,62,1
1,0,0,1,56,0
0,1,0,1,55,1
0,0,0,4,84,0
0,0,0,5,41,0
0,0,0,7,84,0
0,0,1,4,35,1
0,0,0,6,35,0
1,1,0,1,47,1
0,0,0,1,24,1
0,1,0,2,93,1
0,1,0,1,71,1
1,1,0,1,7,1
0,0,0,7,10,1
0,0,0,3,9,1
0,1,1,3,42,0
0,0,0,7,51,1
0,0,1,6,36,0
0,0,0,7,17,1
0,0,1,2,81,0
0,0,0,7,67,1
0,0,0,2,21,1
0,0,0,2,89,1
0,0,0,4,99,1
0,0,0,6,27,0
0,0,1,3,18,0
1,1,1,1,40,0
0,0,0,6,28,1
